IMDB_title_ID,Original_title,Release_year,Genre,Duration,Country,Content_Rating,Director,Unnamed: 8,Income,Votes,Score
tt0043014,Sunset Blvd.,,"Drama, Film-Noir",110,USA,Not Rated,Billy Wilder,,299645.0,195789,8.0
tt0361748,Inglourious Basterds,2009-10-02,"Adventure, Drama, War",153,Germany,R,Quentin Tarantino,,321455689.0,1229958,8.0
tt0169547,American Beauty,2000-01-21,Drama,122,USA,R,Sam Mendes,,356296601.0,1049009,8.0
tt0112573,Braveheart,1995-12-01,"Biography, Drama, History",178,USA,R,Mel Gibson,,213216216.0,941683,7.9
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983-10-21,"Action, Adventure, Fantasy",131,USA,PG,Richard Marquand,,475347111.0,928036,7.9
tt0105236,Reservoir Dogs,1992-10-09,"Crime, Drama, Thriller",99,USA,R,Quentin Tarantino,,2889963.0,896551,7.9
tt0338013,Eternal Sunshine of the Spotless Mind,2004-10-22,"Drama, Romance, Sci-Fi",108,USA,R,Michel Gondry,,74036715.0,889875,7.9
tt0114709,Toy Story,1996-03-22,"Animation, Adventure, Comedy",81,USA,G,John Lasseter,,404265438.0,864461,7.9
tt0119217,Good Will Hunting,1998-03-06,"Drama, Romance",126,USA,R,Gus Van Sant,,225933435.0,837379,7.8
tt0208092,Snatch,2001-03-16,"Comedy, Crime",104,UK,R,Guy Ritchie,,83557872.0,766589,7.8
tt0180093,Requiem for a Dream,2000-12-15,Drama,102,USA,R,Darren Aronofsky,,7390108.0,748291,7.8
tt0066921,A Clockwork Orange,1972-09-07,"Crime, Drama, Sci-Fi",136,UK,Not Rated,Stanley Kubrick,,26903440.0,740301,7.8
tt0435761,Toy Story 3,2010-07-07,"Animation, Adventure, Comedy",103,USA,G,Lee Unkrich,,1066969703.0,739717,7.8
tt0086250,Scarface,,"Crime, Drama",170,USA,R,Brian De Palma,,66023585.0,721343,7.8
tt0075314,Taxi Driver,,"Crime, Drama",114,USA,R,Martin Scorsese,,28441292.0,703264,7.7
tt0211915,Le fabuleux destin d'AmÃ©lie Poulain,2002-01-25,"Comedy, Romance",122,France,R,Jean-Pierre Jeunet,,173924742.0,690480,7.7
tt0093058,Full Metal Jacket,1987-10-09,"Drama, War",116,UK,Not Rated,Stanley Kubrick,,46357676.0,658175,7.7
tt0090605,Aliens,1986-09-24,"Action, Adventure, Sci-Fi",137,USA,R,James Cameron,,131384634.0,639500,7.7
tt0062622,2001: A Space Odyssey,1968-12-12,"Adventure, Sci-Fi",149,UK,G,Stanley Kubrick,,68989547.0,587866,7.6
tt0033467,Citizen Kane,1948-11-25,"Drama, Mystery",119,USA,Not Rated,Orson Welles,,1594107.0,389322,7.6
tt8579674,1917,2020-01-23,"Drama, War",119,USA,Not Rated,Sam Mendes,,384857224.0,362897,7.6
tt0086879,Amadeus,1985-02-15,"Biography, Drama, History",160,USA,R,Milos Forman,,52066791.0,361028,7.6
tt0052357,Vertigo,1958-11-18,"Mystery, Romance, Thriller",128,USA,Not Rated,Alfred Hitchcock,,7796389.0,352786,7.5
tt0053125,North by Northwest,1959-10-28,"Adventure, Mystery, Thriller",136,USA,Not Rated,Alfred Hitchcock,,73446.0,291628,7.5
tt2106476,Jagten,2012-11-22,Drama,115,Denmark,R,Thomas Vinterberg,,15843274.0,269616,7.5
tt0056172,Lawrence of Arabia,1963-10-29,"Adventure, Biography, Drama",228,UK,PG,David Lean,,45710874.0,261504,7.5
tt0070735,The Sting,1974-03-21,"Comedy, Crime, Drama",129,USA,PG,George Roy Hill,,156000000.0,236285,7.5
tt0082096,Das Boot,1982-03-18,"Adventure, Drama, Thriller",149,West Germany,R,Wolfgang Petersen,,11487676.0,226427,7.5
tt0059578,Per qualche dollaro in piÃ¹,1965-12-20,Western,132,Italy,Not Rated,Sergio Leone,,15000000.0,226039,7.4
tt1832382,Jodaeiye Nader az Simin,2011-10-21,Drama,123,Iran,PG-13,Asghar Farhadi,,22926076.0,214165,7.4
tt0045152,Singin' in the Rain,1953-02-05,"Comedy, Musical, Romance",103,USA,Not Rated,Stanley Donen,,1864182.0,213152,7.4
